mets	metsNoComp	metBiGGID	metKEGGID	metHMDBID	metChEBIID	metPubChemID	metLipidMapsID	metEHMNID	metHepatoNET1ID	metRecon3DID	metMetaNetXID	metHMR2ID
"m00037p"	"m00037"	"thcholoylcoa"	"C05448"	""	"CHEBI:27403"	"46224536"	""	""	""	"thcholoylcoa"	"MNXM165175; MNXM3395; MNXM560"	"m00037p"
"m00038c"	"m00038"	""	"C05754"	""	""	""	""	""	"HC01597"	"HC01597"	"MNXM28221"	"m00038c"
"m00039m"	"m00039"	"dc2coa"	"C05275"	""	"CHEBI:10723"	"24883423"	"LMFA07050023"	""	"HC01414"	"dc2coa"	"MNXM580"	"m00039m"
"m00039p"	"m00039"	"dc2coa"	"C05275"	""	"CHEBI:10723"	"24883423"	"LMFA07050023"	""	"HC01414"	"dc2coa"	"MNXM580"	"m00039p"
"m00040c"	"m00040"	""	""	""	""	""	""	"CE2242"	""	"CE2242"	"MNXM97615"	"m00040c"
"m00040m"	"m00040"	""	""	""	""	""	""	"CE2242"	""	"CE2242"	"MNXM97615"	"m00040m"
"m00040p"	"m00040"	""	""	""	""	""	""	"CE2242"	""	"CE2242"	"MNXM97615"	"m00040p"
"m00041c"	"m00041"	""	"C05758"	""	""	""	""	""	"HC01601"	"HC01601"	"MNXM23842"	"m00041c"
"m00042m"	"m00042"	"dd2coa"	"C03221"	""	"CHEBI:15471"	"45266564"	"LMFA07050010"	""	"HC01078"	"dd2coa"	"MNXM642"	"m00042m"
"m00042p"	"m00042"	"dd2coa"	"C03221"	""	"CHEBI:15471"	"45266564"	"LMFA07050010"	""	"HC01078"	"dd2coa"	"MNXM642"	"m00042p"
"m00043c"	"m00043"	""	""	""	""	""	""	"CE2243"	""	"CE2243"	"MNXM163905; MNXM22115"	"m00043c"
"m00043m"	"m00043"	""	""	""	""	""	""	"CE2243"	""	"CE2243"	"MNXM163905; MNXM22115"	"m00043m"
"m00043p"	"m00043"	""	""	""	""	""	""	"CE2243"	""	"CE2243"	"MNXM163905; MNXM22115"	"m00043p"
"m00044c"	"m00044"	""	""	""	""	""	""	""	""	"M00044"	""	"m00044c"
"m00044m"	"m00044"	""	""	""	""	""	""	""	""	"M00044"	""	"m00044m"
"m00045c"	"m00045"	""	""	""	""	""	""	""	""	"M00045"	""	"m00045c"
"m00046m"	"m00046"	""	""	""	""	""	""	""	""	"M00046"	"MNXM170113"	"m00046m"
"m00047c"	"m00047"	""	""	""	""	""	""	""	""	"M00047"	""	"m00047c"
"m00048m"	"m00048"	""	""	""	""	""	""	""	""	"M00048"	""	"m00048m"
"m00049c"	"m00049"	""	""	""	""	""	""	""	""	"M00049"	"MNXM114303"	"m00049c"
"m00049p"	"m00049"	""	""	""	""	""	""	""	""	"M00049"	"MNXM114303"	"m00049p"
"m00050c"	"m00050"	""	"C05763"	""	""	""	""	""	"HC01606"	"HC01606"	"MNXM29072"	"m00050c"
"m00051m"	"m00051"	"hdd2coa"	"C05272"	"HMDB06533"	"CHEBI:28935"	"46173176"	"LMFA07050020"	""	"HC01411"	"hdd2coa"	"MNXM581"	"m00051m"
"m00051p"	"m00051"	"hdd2coa"	"C05272"	"HMDB06533"	"CHEBI:28935"	"46173176"	"LMFA07050020"	""	"HC01411"	"hdd2coa"	"MNXM581"	"m00051p"
"m00052c"	"m00052"	""	"C05748"	""	""	""	""	""	"HC01591"	"HC01591"	"MNXM24502"	"m00052c"
"m00053m"	"m00053"	""	"C05271"	""	"CHEBI:28706"	"5280765"	"LMFA07050019"	""	"HC01410"	"hx2coa"	"MNXM753"	"m00053m"
"m00053p"	"m00053"	""	"C05271"	""	"CHEBI:28706"	"5280765"	"LMFA07050019"	""	"HC01410"	"hx2coa"	"MNXM753"	"m00053p"
"m00054c"	"m00054"	""	""	""	""	""	""	""	""	"M00054"	""	"m00054c"
"m00054m"	"m00054"	""	""	""	""	""	""	""	""	"M00054"	""	"m00054m"
