genes	geneENSTID	geneENSPID	geneUniProtID	geneNames	geneEntrezID
"ENSG00000010932"	"ENST00000469112;ENST00000367750;ENST00000354841;ENST00000617670;ENST00000402921"	"ENSP00000481732;ENSP00000491035;ENSP00000356724;ENSP00000385543;ENSP00000346901"	"Q01740"	"FMO1"	"2326"
"ENSG00000011009"	"ENST00000374501;ENST00000374505;ENST00000421070;ENST00000420982;ENST00000374502;ENST00000374503;ENST00000374514"	"ENSP00000363626;ENSP00000363629;ENSP00000409004;ENSP00000363625;ENSP00000363638;ENSP00000363627;ENSP00000388003"	"O95372"	"LYPLA2"	"11313"
"ENSG00000011052"	"ENST00000376392;ENST00000555572;ENST00000393193"	"ENSP00000451932;ENSP00000376889;ENSP00000365572"	""	"NME1-NME2"	"654364"
"ENSG00000011083"	"ENST00000524041;ENST00000230671"	"ENSP00000428200;ENSP00000230671"	"Q99884"	"SLC6A7"	"6534"
"ENSG00000011198"	"ENST00000013894;ENST00000649763;ENST00000643500;ENST00000643140;ENST00000644371;ENST00000646799;ENST00000646378;ENST00000643477;ENST00000642351;ENST00000456453;ENST00000454293;ENST00000463153;ENST00000413300;ENST00000458276"	"ENSP00000412014;ENSP00000495570;ENSP00000494478;ENSP00000494829;ENSP00000392159;ENSP00000497701;ENSP00000391582;ENSP00000494735;ENSP00000495588;ENSP00000495778;ENSP00000013894;ENSP00000495826;ENSP00000496220;ENSP00000390849"	"Q8WTS1"	"ABHD5"	"51099"
"ENSG00000011275"	"ENST00000389900;ENST00000411812;ENST00000389902;ENST00000416985;ENST00000425013"	"ENSP00000374552;ENSP00000396829;ENSP00000404602;ENSP00000409837;ENSP00000374550"	"Q9NWF9"	"RNF216"	"54476"
"ENSG00000011405"	"ENST00000265970;ENST00000532035;ENST00000533645"	"ENSP00000436244;ENSP00000436969;ENSP00000265970"	"O00443"	"PIK3C2A"	"5286"
"ENSG00000011485"	"ENST00000478046;ENST00000391919;ENST00000012443"	"ENSP00000434329;ENSP00000012443;ENSP00000375786"	"P53041"	"PPP5C"	"5536"
"ENSG00000011566"	"ENST00000484274;ENST00000437545;ENST00000437968;ENST00000341681;ENST00000429397;ENST00000414968;ENST00000263881"	"ENSP00000399228;ENSP00000345434;ENSP00000263881;ENSP00000410183;ENSP00000416958;ENSP00000405137;ENSP00000476533"	"Q8IVH8"	"MAP4K3"	"8491"
"ENSG00000012232"	"ENST00000521532;ENST00000522698;ENST00000521473;ENST00000523149;ENST00000517738;ENST00000220562"	"ENSP00000429627;ENSP00000430652;ENSP00000428352;ENSP00000428691;ENSP00000431013;ENSP00000220562"	"O43909"	"EXTL3"	"2137"
"ENSG00000012660"	"ENST00000370918;ENST00000542638;ENST00000304434;ENST00000370913"	"ENSP00000306640;ENSP00000359956;ENSP00000359951;ENSP00000440728"	"Q9NYP7"	"ELOVL5"	"60481"
"ENSG00000012779"	"ENST00000542434;ENST00000374391;ENST00000612635"	"ENSP00000483803;ENSP00000437634;ENSP00000363512"	"P09917"	"ALOX5"	"240"
"ENSG00000012963"	"ENST00000555329;ENST00000553857;ENST00000553674;ENST00000554232;ENST00000556871;ENST00000013070;ENST00000555113"	"ENSP00000450470;ENSP00000450645;ENSP00000451022;ENSP00000451785;ENSP00000013070;ENSP00000452488;ENSP00000451051"	"Q8N806"	"UBR7"	"55148"
"ENSG00000012983"	"ENST00000554091;ENST00000013125;ENST00000555216;ENST00000554273;ENST00000557390"	"ENSP00000452289;ENSP00000451452;ENSP00000451926;ENSP00000451980;ENSP00000013125"	"Q9Y4K4"	"MAP4K5"	"11183"
"ENSG00000013288"	"ENST00000504248;ENST00000505907;ENST00000285599"	"ENSP00000285599;ENSP00000426273;ENSP00000423129"	"Q9Y2E5"	"MAN2B2"	"23324"
"ENSG00000013375"	"ENST00000510258;ENST00000504780;ENST00000503094;ENST00000509219;ENST00000512866;ENST00000651204;ENST00000651425;ENST00000507554;ENST00000652468;ENST00000605602;ENST00000283977;ENST00000650640;ENST00000652222;ENST00000651698;ENST00000650642;ENST00000508748;ENST00000506587;ENST00000616566;ENST00000505470;ENST00000513973"	"ENSP00000477539;ENSP00000498912;ENSP00000421565;ENSP00000424874;ENSP00000498423;ENSP00000421154;ENSP00000422362;ENSP00000425809;ENSP00000423769;ENSP00000283977;ENSP00000498516;ENSP00000498398;ENSP00000499141;ENSP00000498986;ENSP00000499112;ENSP00000474029;ENSP00000423389;ENSP00000425558;ENSP00000424865;ENSP00000427420"	"O95394"	"PGM3"	"5238"
"ENSG00000013392"	"ENST00000369724"	"ENSP00000358739"	"Q9UIY3"	"RWDD2A"	"112611"
"ENSG00000013441"	"ENST00000409403;ENST00000321356;ENST00000434813;ENST00000432425;ENST00000409769;ENST00000621181"	"ENSP00000479484;ENSP00000386358;ENSP00000400487;ENSP00000386875;ENSP00000326830;ENSP00000394734"	"P49759"	"CLK1"	"1195"
"ENSG00000013503"	"ENST00000228347;ENST00000549569;ENST00000539066"	"ENSP00000228347;ENSP00000448398;ENSP00000445721"	"Q9NW08"	"POLR3B"	"55703"
"ENSG00000013561"	"ENST00000506004;ENST00000512565;ENST00000507163;ENST00000394514;ENST00000513019;ENST00000356143;ENST00000507291;ENST00000394520;ENST00000506938;ENST00000511961;ENST00000515613;ENST00000394519;ENST00000506822;ENST00000347642"	"ENSP00000348462;ENSP00000423420;ENSP00000324956;ENSP00000420837;ENSP00000423294;ENSP00000422650;ENSP00000378022;ENSP00000378028;ENSP00000426832;ENSP00000421780;ENSP00000422527;ENSP00000378027;ENSP00000423273;ENSP00000425361"	"Q9UBS8"	"RNF14"	"9604"
"ENSG00000014138"	"ENST00000527850;ENST00000525924;ENST00000265465;ENST00000532391"	"ENSP00000434173;ENSP00000433952;ENSP00000432536;ENSP00000265465"	"Q14181"	"POLA2"	"23649"
"ENSG00000014257"	"ENST00000475741;ENST00000495911;ENST00000336375;ENST00000507647;ENST00000351273"	"ENSP00000418366;ENSP00000417744;ENSP00000422036;ENSP00000323036;ENSP00000337471"	"P15309"	"ACP3"	"55"
"ENSG00000014641"	"ENST00000442225;ENST00000432309;ENST00000409476;ENST00000421012;ENST00000409908;ENST00000233114;ENST00000454035;ENST00000544381;ENST00000539945;ENST00000436321"	"ENSP00000409027;ENSP00000446395;ENSP00000386719;ENSP00000386743;ENSP00000400937;ENSP00000438144;ENSP00000410073;ENSP00000233114;ENSP00000399004;ENSP00000394504"	"P40925"	"MDH1"	"4190"
"ENSG00000015413"	"ENST00000261615;ENST00000570029;ENST00000421184;ENST00000393092;ENST00000568281"	"ENSP00000261615;ENSP00000376807;ENSP00000455916;ENSP00000455142;ENSP00000397313"	"P16444"	"DPEP1"	"1800"
